month,revenue_eur,shipments_processed,avg_revenue_per_shipment_eur,market
2016-01-01,422476.12,47851,8.83,consolidated
2016-02-01,359896.44,40436,8.90,consolidated
2016-03-01,426519.63,47058,9.06,consolidated
2016-04-01,433007.48,48920,8.85,consolidated
2016-05-01,413413.41,46815,8.83,consolidated
2016-06-01,404943.25,44984,9.00,consolidated
2016-07-01,396939.00,44642,8.89,consolidated
2016-08-01,422911.85,46906,9.02,consolidated
2016-09-01,405018.36,44842,9.03,consolidated
2016-10-01,429559.60,48690,8.82,consolidated
2016-11-01,554409.14,63007,8.80,consolidated
2016-12-01,535010.44,62140,8.61,consolidated
2017-01-01,474931.76,53763,8.83,consolidated
2017-02-01,388147.77,44367,8.75,consolidated
2017-03-01,469948.70,52632,8.93,consolidated
2017-04-01,468115.41,52165,8.97,consolidated
2017-05-01,455812.03,50309,9.06,consolidated
2017-06-01,448650.10,50351,8.91,consolidated
2017-07-01,469127.13,52509,8.93,consolidated
2017-08-01,470594.19,52760,8.92,consolidated
2017-09-01,463457.64,53085,8.73,consolidated
2017-10-01,441808.71,50108,8.82,consolidated
2017-11-01,571332.22,66955,8.53,consolidated
2017-12-01,572295.48,66946,8.55,consolidated
2018-01-01,474138.87,54263,8.74,consolidated
2018-02-01,406281.30,46789,8.68,consolidated
2018-03-01,456891.08,51114,8.94,consolidated
2018-04-01,474716.64,53801,8.82,consolidated
2018-05-01,452407.81,51028,8.87,consolidated
2018-06-01,452045.92,51704,8.74,consolidated
2018-07-01,490691.16,55543,8.83,consolidated
2018-08-01,470455.73,53158,8.85,consolidated
2018-09-01,483829.99,54471,8.88,consolidated
2018-10-01,455116.76,52792,8.62,consolidated
2018-11-01,599496.21,71009,8.44,consolidated
2018-12-01,594609.18,68561,8.67,consolidated
2019-01-01,529083.64,61410,8.62,consolidated
2019-02-01,450119.16,52075,8.64,consolidated
2019-03-01,531030.40,61280,8.67,consolidated
2019-04-01,497904.32,57950,8.59,consolidated
2019-05-01,513022.03,59671,8.60,consolidated
2019-06-01,514205.90,58313,8.82,consolidated
2019-07-01,504763.42,58814,8.58,consolidated
2019-08-01,535262.01,61644,8.68,consolidated
2019-09-01,489033.68,57381,8.52,consolidated
2019-10-01,489989.20,56165,8.72,consolidated
2019-11-01,677753.71,80750,8.39,consolidated
2019-12-01,640605.38,76448,8.38,consolidated
2020-01-01,551245.49,64205,8.59,consolidated
2020-02-01,471911.27,54246,8.70,consolidated
2020-03-01,499533.19,57740,8.65,consolidated
2020-04-01,534732.95,62262,8.59,consolidated
2020-05-01,512943.60,59478,8.62,consolidated
2020-06-01,504788.82,59017,8.55,consolidated
2020-07-01,522759.32,59871,8.73,consolidated
2020-08-01,544929.11,64150,8.49,consolidated
2020-09-01,525220.49,62043,8.47,consolidated
2020-10-01,546860.49,62837,8.70,consolidated
2020-11-01,672161.14,80357,8.36,consolidated
2020-12-01,688469.62,83930,8.20,consolidated
2021-01-01,587484.39,69229,8.49,consolidated
2021-02-01,508874.76,59987,8.48,consolidated
2021-03-01,543866.68,64644,8.41,consolidated
2021-04-01,544948.90,63232,8.62,consolidated
2021-05-01,594136.97,69205,8.59,consolidated
2021-06-01,561437.79,67456,8.32,consolidated
